Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Page_OrangeHRM/inp_Password""), 5)",Chrome 115.0.0.0,,,2023-08-21 17:57:54,2023-08-21 17:57:54,"0,322s",PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/inp_Password""))",Chrome 115.0.0.0,,,2023-08-21 17:57:54,2023-08-21 17:57:55,"0,357s",PASSED
"verifyElementPresent(findTestObject(""Page_OrangeHRM/btn_Login""), 5)",Chrome 115.0.0.0,,,2023-08-21 17:57:55,2023-08-21 17:57:55,"0,320s",PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/btn_Login""))",Chrome 115.0.0.0,,,2023-08-21 17:57:55,2023-08-21 17:57:55,"0,355s",PASSED
"verifyElementClickable(findTestObject(""Page_OrangeHRM/btn_Login""))",Chrome 115.0.0.0,,,2023-08-21 17:57:55,2023-08-21 17:57:56,"0,337s",PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/inp_Username""), username_valid)",Chrome 115.0.0.0,valid senario,,2023-08-21 17:57:56,2023-08-21 17:57:56,"0,661s",PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/inp_Password""), password_valid)",Chrome 115.0.0.0,,,2023-08-21 17:57:56,2023-08-21 17:57:57,"0,414s",PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/btn_Login""))",Chrome 115.0.0.0,,,2023-08-21 17:57:57,2023-08-21 17:57:57,"0,361s",PASSED
try,Chrome 115.0.0.0,,,2023-08-21 17:57:57,2023-08-21 17:58:30,"33,047s",PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-21 17:58:30,2023-08-21 17:58:31,"0,821s",PASSED
